Observation id,2week3738x3743,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,,,,,,,
,,,,,,,,
Observation date,2021-01-25 14:08:48,,,,,,,
,,,,,,,,
Description,13_11_48 2 week,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
1489.967,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,together,,,START
1490.000,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,START
1512.200,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,STOP
1512.233,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,active interaction,,,START
1516.233,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,active interaction,,,STOP
1516.267,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,START
1525.400,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,STOP
1525.433,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,active interaction,,,START
1532.967,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,active interaction,,,STOP
1533.000,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,START
1557.267,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,STOP
1557.300,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,active interaction,,,START
1558.967,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,active interaction,,,STOP
1559.000,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,START
2832.833,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,STOP
2832.867,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,together,,,STOP
2832.900,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,seperate,,,START
2832.933,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,START
3463.600,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,nonsocial,,,STOP
3463.633,/Users/Anna/Desktop/Video2020-12-19T13_11_48.avi,3489.700,30.0,,seperate,,,STOP
