Observation id,2week3739x3754,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,,,,,,,
,,,,,,,,
Observation date,2021-01-21 11:32:04,,,,,,,
,,,,,,,,
Description,two weeks paired 17_38_46,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
1.367,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,seperate,,,START
1.400,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,START
640.267,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,STOP
640.300,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,seperate,,,STOP
640.333,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,together,,,START
640.367,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,START
644.433,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,STOP
644.467,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,START
659.333,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,STOP
659.367,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,START
660.367,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,STOP
660.400,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,one sided interaction,,,START
660.733,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,one sided interaction,,,STOP
660.767,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,START
661.533,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,STOP
661.567,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,START
667.833,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,STOP
667.867,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,one sided interaction,,,START
668.600,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,one sided interaction,,,STOP
668.633,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,START
670.100,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,STOP
670.133,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,START
671.333,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,STOP
671.367,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,START
688.633,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,STOP
688.667,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,START
693.800,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,STOP
693.833,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,one sided interaction,,,START
698.433,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,one sided interaction,,,STOP
698.467,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,START
699.900,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,STOP
699.933,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,START
705.067,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,STOP
705.100,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,START
705.767,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,STOP
705.800,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,START
707.867,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,STOP
707.900,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,START
708.633,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,STOP
708.667,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,START
722.167,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,nonsocial,,,STOP
722.200,/Users/Anna/Desktop/Video2020-12-19T17_38_46.avi,2532.830,30.0,,active interaction,,,START
