0,1,2,3,4,5,6,7,8
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
0,n/a,n/a,n/a,n/a,0,n/a,n/a,0
Time,n/a,n/a,n/a,n/a,Behavior,n/a,n/a,Status
44.23514880000055,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
44.28472320000082,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
44.378547200001776,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
44.45221119999886,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
44.53827839999646,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
44.58330879999697,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
45.791961599998174,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
45.81625599999726,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
46.09887999999523,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
46.115302400000395,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
46.369254399999974,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
46.389887999996546,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
46.48801280000061,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
46.537177599996326,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
46.619161600001156,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
46.69696000000089,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
46.77094399999827,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
46.852633599996565,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
46.93463039999455,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
47.012339199997484,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
47.02906879999489,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
47.06560000000149,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
49.67092480000108,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
49.69123839999735,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
49.81030399999768,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
49.82650879999995,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
50.203289599999785,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
50.236364799998704,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
50.50644479999691,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
50.52313599999994,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
50.63752959999442,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
50.66640639999509,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
50.76450559999794,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
50.805619199998674,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
50.89559039999545,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
50.97758720000088,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
51.0429952000007,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
51.0963200000003,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
51.145433600001034,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
51.23964159999788,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
51.44855039999634,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
51.481446400001644,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
52.15322879999876,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
52.177676799997684,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
52.292339199997485,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
52.321139199994505,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
53.77519359999895,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
53.79580160000175,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
54.074316799998286,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
54.11938560000062,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
54.184895999997856,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
54.29960960000008,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
56.769689599998294,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
56.78600959999859,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
57.87973119999468,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
57.92880640000105,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
58.01507840000093,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
58.072166400000455,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
58.125363200001416,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
58.26063359999657,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
59.22325759999454,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
59.248140799999234,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
62.0332928000018,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
62.0906623999998,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
62.12796159999817,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
62.43484160000086,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
62.49250559999794,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
62.52478719999641,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
62.6231167999953,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
62.6396799999997,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
62.68048640000075,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
62.692684799999,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
63.1597567999959,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
63.19665919999778,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
63.29484799999744,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
63.33584640000016,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
63.84417279999703,n/a,n/a,n/a,n/a,Lick,n/a,n/a,STOP
63.87662079999596,n/a,n/a,n/a,n/a,Lick,n/a,n/a,START
